Nama,Alamat,No HP,Jenis Zakat,Jumlah (Rp),Tanggal Pembayaran
Hari Sihombing,"Gg. Rajiman No. 001, Cirebon, JI 03356",(0079) 849-0650,Zakat Penghasilan,645837.24,2025-01-22
Carla Sihombing,"Gang Moch. Toha No. 272, Semarang, Maluku Utara 63408",(033) 721-0893,Zakat Penghasilan,391023.08,2024-12-29
Agnes Putra,"Gang Soekarno Hatta No. 05, Parepare, GO 97522",+62 (46) 365-4667,Zakat Penghasilan,878216.58,2023-11-14
drg. Gilda Prastuti,"Gg. Erlangga No. 4, Kendari, NT 96139",+62-36-034-9695,Zakat Penghasilan,176546.07,2023-06-05
H. Bagya Lailasari,"Jl. Gardujati No. 663, Tual, Sulawesi Utara 84021",+62-936-182-6865,Zakat Perdagangan,522350.07,2024-09-04
"Alika Rahmawati, S.Pt","Jl. K.H. Wahid Hasyim No. 7, Banda Aceh, NB 01160",+62 (333) 046-1638,Zakat Emas/Perak,80509.4,2025-03-02
Dt. Dimas Santoso,"Jl. Tebet Barat Dalam No. 122, Denpasar, GO 74718",(098) 067 0124,Zakat Emas/Perak,136189.58,2024-06-15
"dr. Paramita Saptono, S.Pd","Jalan Tubagus Ismail No. 81, Pangkalpinang, BB 59020",+62 (35) 765-8261,Zakat Penghasilan,879805.48,2023-11-19
Ophelia Safitri,"Gang Sentot Alibasa No. 678, Binjai, Lampung 66790",0834139349,Zakat Pertanian,677276.47,2024-09-24
"Dt. Tasdik Usamah, S.Psi","Jalan Surapati No. 888, Langsa, Sulawesi Selatan 17718",+62 (10) 266 7297,Zakat Pertanian,347484.31,2024-10-03
Mahmud Maryadi,"Gang Rajawali Barat No. 67, Jambi, Jawa Barat 42370",082 100 9382,Zakat Fitrah,316399.3,2024-09-05
Asmianto Waluyo,"Gang Ahmad Yani No. 46, Kota Administrasi Jakarta Utara, GO 97384",+62 (097) 960-8069,Zakat Mal,458466.98,2025-04-22
Dinda Siregar,"Gang Dr. Djunjunan No. 6, Depok, BB 94524",(0413) 159-0815,Zakat Perdagangan,868945.24,2023-12-27
Nasrullah Budiman,"Jl. Pasteur No. 3, Kediri, Sulawesi Barat 54290",+62 (336) 898 9883,Zakat Penghasilan,563203.02,2024-07-20
Tomi Rahmawati,"Jl. Tebet Barat Dalam No. 22, Banjarmasin, Gorontalo 68337",0806053405,Zakat Perdagangan,791261.12,2024-07-22
R.A. Iriana Winarno,"Jalan Ahmad Yani No. 22, Bogor, KT 79965",+62 (327) 501-6761,Zakat Mal,730867.65,2025-04-11
Michelle Mandasari,"Gg. Jend. A. Yani No. 9, Pariaman, NT 50522",+62 (66) 689-6178,Zakat Emas/Perak,577292.65,2025-03-01
Hafshah Rajasa,"Gang Moch. Ramdan No. 1, Cimahi, Bali 04431",+62-22-232-4216,Zakat Emas/Perak,836923.13,2023-11-20
"Ir. Mustika Sihotang, S.H.","Gang Pasirkoja No. 77, Batu, Sulawesi Barat 02432",+62 (0944) 234-9192,Zakat Pertanian,970073.03,2024-10-20
"Sutan Pranata Rajasa, M.Farm","Gang Erlangga No. 5, Pariaman, BA 62856",+62-239-925-1639,Zakat Penghasilan,697376.65,2024-09-27
"R. Gabriella Wibowo, M.Farm","Jl. Moch. Ramdan No. 9, Cimahi, KI 53623",+62 (0563) 836 6671,Zakat Emas/Perak,668030.81,2024-10-21
Danu Astuti,"Jl. Ronggowarsito No. 1, Subulussalam, GO 96245",+62 (21) 959 3655,Zakat Emas/Perak,566968.38,2024-03-17
"Puti Hamima Fujiati, M.M.","Jl. Cihampelas No. 2, Semarang, MU 05256",+62 (0604) 111-1751,Zakat Penghasilan,846871.08,2024-01-29
Nardi Iswahyudi,"Gang PHH. Mustofa No. 625, Pontianak, JA 60018",+62-0126-239-5869,Zakat Fitrah,150425.84,2023-08-29
Asmianto Pradana,"Jl. Moch. Ramdan No. 05, Pontianak, BT 65241",+62-0188-693-0380,Zakat Penghasilan,705058.63,2023-05-23
Amalia Waskita,"Gang Cihampelas No. 446, Banjarmasin, Kepulauan Riau 15418",+62 (0402) 585 5143,Zakat Mal,608798.39,2024-06-01
"Ganep Hutapea, S.E.I","Jl. Erlangga No. 4, Bogor, NT 38333",(0217) 484-2784,Zakat Perdagangan,273516.55,2024-03-17
Karimah Mangunsong,"Jl. Kebonjati No. 2, Langsa, PA 94878",+62 (920) 987 3377,Zakat Penghasilan,80098.78,2023-06-06
Fitria Prastuti,"Jl. Ahmad Yani No. 094, Sungai Penuh, Sulawesi Selatan 41349",(077) 505-4064,Zakat Fitrah,867464.16,2024-03-30
Silvia Halimah,"Jalan Cihampelas No. 5, Pekalongan, ST 34420",086 747 5516,Zakat Emas/Perak,329075.74,2023-09-19
Siti Waskita,"Gang Sentot Alibasa No. 30, Tebingtinggi, GO 85492",(052) 018 0452,Zakat Pertanian,701753.53,2023-05-17
Hesti Yolanda,"Jalan Raya Ujungberung No. 752, Pangkalpinang, Maluku Utara 54111",+62 (060) 240 3243,Zakat Pertanian,421031.71,2024-12-15
Talia Wahyuni,"Jl. Setiabudhi No. 153, Kendari, KS 20436",(092) 630 3306,Zakat Perdagangan,187024.57,2024-08-02
R.M. Nyana Hutasoit,"Jalan Waringin No. 3, Kota Administrasi Jakarta Timur, Riau 11267",+62 (0248) 969-7627,Zakat Emas/Perak,296652.99,2024-01-06
T. Joko Purwanti,"Jl. Moch. Toha No. 660, Bandar Lampung, BT 95697",+62-441-446-4849,Zakat Penghasilan,135641.26,2023-12-01
Pia Usada,"Gang Surapati No. 9, Bengkulu, Sulawesi Utara 81011",+62-116-310-0240,Zakat Penghasilan,601518.9,2024-03-25
Ellis Permadi,"Gang Cempaka No. 084, Gorontalo, RI 98222",(058) 227 3727,Zakat Fitrah,95241.4,2023-05-15
Daniswara Rahmawati,"Jalan Rumah Sakit No. 2, Palangkaraya, DI Yogyakarta 10479",+62-092-320-0677,Zakat Fitrah,405215.53,2024-09-08
"T. Utama Sihombing, S.Pd","Gg. PHH. Mustofa No. 543, Sawahlunto, JB 53423",(046) 104-4962,Zakat Emas/Perak,251721.05,2024-08-01
Uda Pertiwi,"Gang HOS. Cokroaminoto No. 909, Bontang, Jawa Timur 33066",+62 (0545) 308-9523,Zakat Pertanian,78047.83,2024-02-08
Dt. Salman Natsir,"Gang Medokan Ayu No. 837, Medan, DI Yogyakarta 53442",+62-0184-432-2636,Zakat Fitrah,312166.63,2024-03-24
Salman Andriani,"Jl. Jayawijaya No. 238, Pematangsiantar, PA 91503",+62-394-672-7473,Zakat Penghasilan,229816.71,2024-02-14
Hasna Iswahyudi,"Jalan Sukabumi No. 252, Solok, Nusa Tenggara Timur 90238",+62-881-169-5415,Zakat Mal,557153.75,2023-10-19
Nyana Samosir,"Gang Ir. H. Djuanda No. 711, Tangerang Selatan, Banten 87652",+62 (24) 427 0019,Zakat Fitrah,82458.16,2023-05-27
Kasusra Rajasa,"Jalan H.J Maemunah No. 4, Tomohon, KU 80627",+62 (002) 985 1897,Zakat Fitrah,308650.79,2025-03-09
Diah Simanjuntak,"Jl. Dipenogoro No. 49, Kota Administrasi Jakarta Barat, Papua Barat 19378",(024) 306-8167,Zakat Emas/Perak,763658.46,2024-09-26
Ira Wulandari,"Gang Kebonjati No. 62, Mojokerto, JT 59157",+62-31-152-2274,Zakat Perdagangan,81488.47,2023-08-22
Gabriella Simbolon,"Jl. Sukabumi No. 039, Surakarta, KU 50635",(072) 778-7210,Zakat Penghasilan,403695.57,2024-11-30
Olga Mandala,"Gg. Kutisari Selatan No. 327, Tual, Sulawesi Tengah 62550",+62-041-106-6783,Zakat Fitrah,282042.75,2024-03-02
Dt. Tugiman Saefullah,"Gang Waringin No. 24, Probolinggo, Kalimantan Tengah 69301",(014) 645 5562,Zakat Mal,353433.86,2024-08-16
Agus Jailani,"Gang Rumah Sakit No. 321, Cirebon, Kalimantan Tengah 49039",(0987) 766 4958,Zakat Fitrah,306376.7,2023-05-22
Dr. Ida Sinaga,"Gang Erlangga No. 346, Sungai Penuh, JK 92465",(039) 528 0446,Zakat Perdagangan,125373.63,2024-05-25
Calista Nasyiah,"Gg. Rajiman No. 82, Makassar, JA 23666",0811608711,Zakat Pertanian,528234.89,2024-03-17
Betania Natsir,"Jl. Setiabudhi No. 590, Palembang, MA 40873",+62-00-374-6764,Zakat Pertanian,982406.38,2024-05-14
Dinda Sitompul,"Gang Waringin No. 351, Tangerang Selatan, BB 82570",+62 (25) 915 4892,Zakat Mal,626886.79,2024-08-07
"Padma Handayani, S.E.I","Gg. Rajawali Barat No. 00, Langsa, PB 94499",+62 (500) 239 9950,Zakat Fitrah,181136.07,2024-10-18
Ihsan Purnawati,"Jalan Stasiun Wonokromo No. 43, Sabang, SU 35163",+62 (947) 911-9659,Zakat Mal,650815.05,2024-09-25
Ratih Kusmawati,"Jl. Moch. Ramdan No. 9, Gorontalo, BE 50390",+62 (73) 436-8789,Zakat Perdagangan,829037.64,2024-05-14
"Malika Firmansyah, M.Pd","Gg. Rajawali Barat No. 078, Kendari, Jawa Barat 51995",+62 (79) 310 2254,Zakat Pertanian,519091.35,2024-04-02
Tgk. Icha Permadi,"Jl. Jakarta No. 93, Tegal, Nusa Tenggara Barat 11070",+62-412-551-6181,Zakat Penghasilan,340956.57,2023-10-02
Vera Aryani,"Jalan Surapati No. 9, Pariaman, Kalimantan Utara 63891",+62 (086) 229 3460,Zakat Emas/Perak,895125.21,2024-10-05
Ifa Pranowo,"Jalan Gegerkalong Hilir No. 89, Dumai, Kepulauan Bangka Belitung 67811",+62 (011) 197 7543,Zakat Pertanian,491965.16,2023-09-10
Vero Damanik,"Jl. Wonoayu No. 690, Batam, BE 05918",+62 (0217) 182-8314,Zakat Emas/Perak,34593.59,2025-02-04
Salimah Padmasari,"Gg. Rajiman No. 573, Salatiga, Sulawesi Tengah 79357",+62 (0232) 452 1398,Zakat Emas/Perak,163172.46,2025-01-01
"Dr. Maya Widodo, S.Pd","Gang Pacuan Kuda No. 809, Kota Administrasi Jakarta Selatan, Sulawesi Tengah 05910",+62-060-893-6971,Zakat Emas/Perak,885135.62,2024-11-26
"Cut Intan Manullang, S.E.","Jalan Rajiman No. 937, Tomohon, Jambi 80998",(042) 046 5397,Zakat Fitrah,300703.9,2024-03-18
Rina Hidayanto,"Gang Moch. Toha No. 4, Padang, JB 56624",+62 (72) 178 7397,Zakat Perdagangan,370925.1,2023-06-05
Gambira Pertiwi,"Gang Suryakencana No. 46, Pagaralam, Sumatera Selatan 77432",+62 (49) 578 8493,Zakat Fitrah,77272.29,2023-07-17
"Qori Sinaga, S.Pd","Jl. Sentot Alibasa No. 8, Binjai, KU 42032",(036) 402 9733,Zakat Perdagangan,134660.36,2024-07-10
Bakiono Lestari,"Jalan Pasirkoja No. 48, Sibolga, SG 88275",+62 (0120) 282 4962,Zakat Perdagangan,286566.96,2024-02-03
Jasmani Putra,"Gang Cikapayang No. 1, Pagaralam, KR 68923",+62 (48) 314-0190,Zakat Mal,970199.28,2023-11-17
Hani Rajasa,"Jalan Ir. H. Djuanda No. 41, Kota Administrasi Jakarta Utara, SS 65397",+62 (458) 733 3834,Zakat Pertanian,219484.8,2024-01-22
Dr. Warsita Saptono,"Gg. Gegerkalong Hilir No. 6, Gorontalo, SS 58634",+62 (21) 253-4279,Zakat Emas/Perak,342894.31,2024-11-14
"Ir. Prasetyo Rajata, M.Kom.","Jl. Waringin No. 18, Tarakan, BB 50127",(0535) 637-4123,Zakat Perdagangan,197106.36,2023-09-21
Irwan Kusumo,"Jalan Ronggowarsito No. 41, Bukittinggi, KS 93353",+62-0779-650-6944,Zakat Fitrah,740355.22,2024-07-05
Koko Marpaung,"Gang Pasir Koja No. 071, Ternate, BT 21906",0805194261,Zakat Emas/Perak,251012.41,2023-12-18
Bahuraksa Palastri,"Gg. Gedebage Selatan No. 799, Kota Administrasi Jakarta Barat, LA 31374",+62 (023) 044-8123,Zakat Fitrah,955972.66,2024-06-08
"drg. Harjasa Setiawan, S.T.","Jl. Abdul Muis No. 39, Singkawang, KR 88621",+62 (38) 967-9725,Zakat Pertanian,768432.09,2024-06-08
"Drs. Balapati Mustofa, S.Pd","Jl. Rajawali Barat No. 9, Blitar, Kalimantan Timur 64838",+62 (0112) 820 0634,Zakat Mal,953197.62,2025-01-21
"Ir. Laras Maulana, M.TI.","Jl. Merdeka No. 7, Bitung, JT 57240",(064) 656-1460,Zakat Perdagangan,197731.41,2023-09-25
Tgk. Taufan Zulaika,"Gang Dipenogoro No. 166, Magelang, KU 24513",+62-66-793-8841,Zakat Mal,366159.74,2024-11-28
Cinta Suryono,"Gg. Sukajadi No. 9, Balikpapan, Papua Barat 39575",+62 (053) 406-7121,Zakat Perdagangan,87509.56,2023-05-16
"Kamidin Narpati, S.I.Kom","Jalan Moch. Ramdan No. 3, Bekasi, PA 85343",0852938043,Zakat Mal,748095.77,2024-08-24
"Dr. Elvina Mustofa, S.IP","Jl. Rajawali Barat No. 959, Kupang, BE 56603",+62 (444) 401-2324,Zakat Fitrah,890481.68,2024-07-08
"dr. Lala Nurdiyanti, S.Pt","Jl. Lembong No. 4, Kediri, Kalimantan Utara 63990",+62 (0607) 170 1666,Zakat Pertanian,452673.31,2025-05-06
Puti Hilda Hutapea,"Gang Stasiun Wonokromo No. 92, Binjai, Lampung 50746",(097) 417 2701,Zakat Pertanian,393817.1,2025-04-10
Ir. Melinda Waskita,"Gg. M.H Thamrin No. 527, Padang, SR 48396",(0190) 531 4347,Zakat Mal,609151.8,2024-10-22
Jamil Prabowo,"Jl. Medokan Ayu No. 10, Jambi, RI 78843",(077) 590 7778,Zakat Emas/Perak,670545.39,2024-04-22
Padmi Purwanti,"Jalan Kebonjati No. 0, Serang, MA 33629",082 814 6158,Zakat Fitrah,120447.75,2024-09-15
Hartaka Novitasari,"Jalan Raya Setiabudhi No. 67, Sawahlunto, Kalimantan Tengah 49072",+62-0070-613-3104,Zakat Perdagangan,365253.49,2024-12-12
"Ir. Virman Mandasari, M.TI.","Jalan Setiabudhi No. 136, Pagaralam, Lampung 59298",+62-078-521-8760,Zakat Pertanian,734797.82,2023-06-26
"Darijan Sihombing, S.Kom","Gang Suniaraja No. 578, Ambon, Sumatera Utara 91957",+62 (0851) 907 6492,Zakat Pertanian,554552.64,2024-12-30
Siti Riyanti,"Jalan Suniaraja No. 01, Prabumulih, MA 77535",(086) 810 4806,Zakat Emas/Perak,177808.5,2024-09-19
"Ina Safitri, S.IP","Gang Ahmad Yani No. 95, Payakumbuh, Sulawesi Barat 19568",+62 (62) 348 6913,Zakat Perdagangan,416265.93,2023-11-28
Tari Laksita,"Gg. H.J Maemunah No. 9, Cimahi, KS 10429",+62 (392) 388-4397,Zakat Emas/Perak,121633.51,2024-06-14
"Eka Prasetya, S.Farm","Gg. Ahmad Yani No. 221, Padangpanjang, JB 14798",087 572 0181,Zakat Fitrah,254270.22,2023-06-12
Maya Mulyani,"Jalan Kendalsari No. 2, Tebingtinggi, KT 90635",+62 (0947) 482-5544,Zakat Penghasilan,72929.42,2024-03-18
"Ir. Fitriani Nasyiah, S.E.","Gang Kutisari Selatan No. 899, Tebingtinggi, JB 17011",(065) 553-8949,Zakat Perdagangan,805535.18,2024-11-16
Elvina Prasetya,"Jalan Ciumbuleuit No. 27, Banjar, JK 00405",(092) 993 5787,Zakat Perdagangan,788150.79,2023-07-16
Vera Farida,"Jl. Ahmad Yani No. 365, Bengkulu, Nusa Tenggara Barat 97272",(0088) 640 8068,Zakat Pertanian,844466.54,2023-06-09
"drg. Zamira Manullang, S.IP","Jl. Stasiun Wonokromo No. 0, Serang, BB 46929",+62-99-229-7543,Zakat Pertanian,641689.5,2024-04-12
drg. Mala Puspita,"Gg. Pasteur No. 234, Samarinda, Kalimantan Timur 02730",+62 (55) 536-2456,Zakat Fitrah,438913.22,2024-12-24
Violet Wastuti,"Jl. Bangka Raya No. 59, Pontianak, YO 08040",+62 (126) 904-5031,Zakat Penghasilan,638048.06,2023-08-31
Gandi Pertiwi,"Gang Indragiri No. 949, Palangkaraya, Riau 93339",(0669) 792 0285,Zakat Pertanian,275318.07,2023-08-28
R. Irfan Tamba,"Jl. Dipatiukur No. 490, Singkawang, JI 37844",+62-832-099-5362,Zakat Perdagangan,545973.64,2024-05-26
"Radit Wulandari, S.E.","Gg. Jayawijaya No. 11, Cilegon, Kalimantan Tengah 11923",+62-0321-935-1948,Zakat Pertanian,115492.24,2023-11-17
"drg. Ivan Maheswara, S.Pt","Gg. Dipenogoro No. 43, Tanjungpinang, PA 94328",+62-640-912-6183,Zakat Pertanian,963698.25,2024-09-25
"Drs. Usman Wulandari, S.IP","Jalan Setiabudhi No. 1, Manado, RI 76479",087 973 4413,Zakat Perdagangan,995746.82,2024-11-13
Edison Susanti,"Jalan Yos Sudarso No. 5, Pekanbaru, LA 48656",+62 (029) 522-0953,Zakat Pertanian,537594.9,2023-09-22
"Jamalia Sirait, S.E.I","Jl. Gegerkalong Hilir No. 688, Sabang, SN 25492",(0835) 861 3860,Zakat Penghasilan,732168.68,2023-10-16
"Karja Handayani, S.Pt","Jalan PHH. Mustofa No. 734, Payakumbuh, KR 11139",084 195 1850,Zakat Fitrah,736170.53,2024-08-07
Kanda Riyanti,"Jalan Gardujati No. 683, Blitar, Jawa Timur 07688",+62 (068) 417-9093,Zakat Emas/Perak,850672.88,2024-12-19
R. Elvina Pratama,"Jalan Otto Iskandardinata No. 9, Sabang, Jawa Tengah 95168",+62-605-270-2960,Zakat Mal,625672.45,2025-03-30
Humaira Anggriawan,"Gang KH Amin Jasuta No. 1, Tasikmalaya, KB 00019",0858113899,Zakat Penghasilan,840873.48,2025-01-11
Cinta Thamrin,"Jalan Kebonjati No. 425, Singkawang, Kalimantan Selatan 50114",+62 (06) 784-7955,Zakat Emas/Perak,112971.43,2023-10-27
"Melinda Pratiwi, S.Farm","Jl. Kapten Muslihat No. 790, Tual, JA 12356",(0885) 852-6739,Zakat Mal,42362.93,2024-07-14
Kawaya Wibowo,"Gg. R.E Martadinata No. 729, Kota Administrasi Jakarta Utara, ST 73263",(001) 727 4895,Zakat Mal,248722.82,2024-10-28
"drg. Ulva Sinaga, S.Sos","Gang Kendalsari No. 534, Langsa, Papua Barat 30204",+62 (093) 145 6115,Zakat Perdagangan,534035.44,2025-01-10
Vera Santoso,"Gg. Jamika No. 8, Tarakan, Kalimantan Timur 69663",+62-560-850-4149,Zakat Pertanian,695410.84,2025-02-09
"R. Vanya Riyanti, M.M.","Jalan Cihampelas No. 96, Banjar, JI 67527",+62-79-765-5031,Zakat Mal,381234.28,2023-07-03
"H. Liman Susanti, S.Pt","Gang Gedebage Selatan No. 0, Bekasi, PB 20363",+62 (208) 339-9279,Zakat Perdagangan,749990.02,2025-03-23
"Wirda Irawan, S.IP","Jl. Raya Setiabudhi No. 82, Makassar, JA 81869",(065) 326-9535,Zakat Perdagangan,636825.33,2023-07-03
Maida Mangunsong,"Jalan KH Amin Jasuta No. 262, Banjarbaru, KI 53479",+62 (543) 893-8983,Zakat Fitrah,328579.09,2024-02-09
Mahfud Puspasari,"Jalan Ir. H. Djuanda No. 5, Tebingtinggi, Kalimantan Barat 19413",+62-0593-577-6673,Zakat Perdagangan,712363.67,2023-07-23
R. Gaduh Nuraini,"Jalan Erlangga No. 771, Probolinggo, Jawa Timur 68514",(0307) 374 5046,Zakat Fitrah,794236.73,2023-05-17
Betania Pradipta,"Gang W.R. Supratman No. 1, Bogor, Sumatera Barat 95876",+62 (0206) 140-3782,Zakat Mal,446996.6,2025-03-16
Wakiman Sinaga,"Jalan Sukabumi No. 1, Prabumulih, Sulawesi Selatan 01799",+62 (080) 641 5295,Zakat Penghasilan,657821.37,2023-10-24
Bala Purwanti,"Gang Suryakencana No. 090, Pagaralam, KI 90022",+62-091-240-8846,Zakat Fitrah,555446.28,2024-03-15
Salwa Farida,"Gg. Asia Afrika No. 701, Cirebon, Papua 61020",(0292) 329 7629,Zakat Mal,854226.36,2023-12-11
