Nama,Alamat,No HP,Jenis Zakat,Jumlah (Rp),Tanggal Pembayaran
BAKIONO FIRGANTORO,"Gg. M.T Haryono No. 55, Tegal, Maluku Utara 31030",+62 (28) 015 4765,Zakat Emas/Perak,994457.5333,2023-12-02
"R. BALANGGA MARYADI, S.PD","Gg. Ahmad Dahlan No. 172, Kediri, NT 93298",089 160 5761,Zakat Mal,1008640.7661,2024-05-17
ASMIANTO MANULLANG,"Gg. Kutai No. 6, Bukittinggi, BA 89064",+62 (43) 801 1123,Zakat Mal,189328.08290000004,2025-03-09
AYU NASYIDAH,"Jl. Kendalsari No. 143, Tangerang, RI 08137",(007) 735-8986,Zakat Perdagangan,1181865.0195000002,2024-11-04
"TGK. OKTA SINAGA, M.M.","Gang Cempaka No. 2, Semarang, Jambi 86721",+62-257-216-7385,Zakat Emas/Perak,1021422.0808000001,2024-08-05
JULIA PANGESTU,"Gg. R.E Martadinata No. 299, Samarinda, Kalimantan Tengah 98677",+62 (089) 456-4722,Zakat Fitrah,632945.3977000001,2023-07-22
ICHA MANSUR,"Gg. Erlangga No. 3, Depok, Sulawesi Selatan 56871",+62 (0670) 204 2876,Zakat Mal,819448.1790000002,2024-06-05
"MULYONO MANULLANG, S.E.I","Jalan M.T Haryono No. 632, Serang, Kalimantan Utara 32322",(0401) 493 6594,Zakat Emas/Perak,442585.30580000003,2024-12-24
DR. VANYA PRASASTA,"Jalan S. Parman No. 59, Bau-Bau, Papua 88714",(001) 284-1311,Zakat Penghasilan,856792.7236000003,2024-01-23
KEMBA KUSWOYO,"Gg. Siliwangi No. 2, Parepare, Kalimantan Utara 41833",+62-0890-043-4538,Zakat Mal,809449.6586000002,2023-11-04
HARSAYA OKTAVIANI,"Gang Moch. Toha No. 276, Pematangsiantar, Bengkulu 25226",+62 (003) 203 1490,Zakat Pertanian,1174309.6585000001,2024-01-23
KARNA SUDIATI,"Gg. Ir. H. Djuanda No. 1, Pasuruan, LA 46957",(0212) 742-5895,Zakat Emas/Perak,503800.86350000004,2024-11-02
"TGK. AJENG LESTARI, S.KOM","Gg. Cihampelas No. 337, Batu, Kepulauan Bangka Belitung 90996",+62-792-217-3693,Zakat Pertanian,272820.34560000006,2024-08-31
AMELIA RAJASA,"Gg. W.R. Supratman No. 41, Sabang, Kalimantan Selatan 89516",+62 (408) 867-8154,Zakat Perdagangan,869942.3623000002,2024-01-03
JUMADI SETIAWAN,"Gg. Kutisari Selatan No. 529, Tangerang, Sumatera Utara 95064",(0750) 707-6815,Zakat Mal,171679.49480000001,2024-09-16
SAMSUL KUSUMO,"Jalan Siliwangi No. 274, Lhokseumawe, Kalimantan Barat 37156",+62 (0756) 739-3125,Zakat Fitrah,344525.2239000001,2025-02-20
"R. ELLIS KUSUMO, M.PD","Gang KH Amin Jasuta No. 3, Kupang, KU 06293",+62 (263) 578 3680,Zakat Perdagangan,250379.45570000005,2024-10-30
"GAMANTO HAKIM, M.PD","Jl. Yos Sudarso No. 860, Kota Administrasi Jakarta Barat, Sulawesi Selatan 02788",(0573) 007 5718,Zakat Perdagangan,579662.7452,2024-10-13
TGK. YUSUF SIHOMBING,"Gang H.J Maemunah No. 578, Jayapura, Jambi 66155",+62 (289) 982 8825,Zakat Fitrah,39073.658800000005,2024-12-05
"PUJI MARYADI, S.PSI","Jalan Pasir Koja No. 185, Tanjungpinang, DKI Jakarta 67629",+62 (090) 476-7488,Zakat Penghasilan,275147.5386,2025-04-08
"VINO MARBUN, M.KOM.","Gang Moch. Ramdan No. 59, Manado, JI 61249",0849503863,Zakat Fitrah,881303.0281000001,2024-05-07
KH. KAYUN SUWARNO,"Gang Jamika No. 547, Meulaboh, JK 15184",(0249) 641 0625,Zakat Emas/Perak,34102.1197,2024-01-18
IRSAD KURNIAWAN,"Gang Sentot Alibasa No. 59, Tebingtinggi, BB 98309",+62 (86) 881 2788,Zakat Penghasilan,141784.77500000002,2024-07-29
NYOMAN TAMPUBOLON,"Jl. Cihampelas No. 196, Kota Administrasi Jakarta Utara, SB 25351",+62 (0543) 145 1252,Zakat Perdagangan,184479.14100000003,2024-04-28
CAPA AGUSTINA,"Gang Dr. Djunjunan No. 6, Bandar Lampung, KS 11483",(0423) 507 2010,Zakat Emas/Perak,759432.5783,2024-04-18
"R.A. FEBI HARYANTI, M.M.","Jalan Jakarta No. 16, Kota Administrasi Jakarta Pusat, Jawa Barat 57218",+62 (918) 784 3033,Zakat Mal,405772.9313000001,2023-12-28
SAKTI WINARNO,"Gg. Kiaracondong No. 6, Pematangsiantar, Banten 58092",+62-58-000-1078,Zakat Mal,1014808.1482,2023-09-11
"ROSMAN PRASASTA, S.GZ","Jl. Siliwangi No. 58, Padang Sidempuan, JB 03044",0859600536,Zakat Emas/Perak,499613.64640000014,2023-05-26
"LABUH WACANA, S.E.I","Gg. Rungkut Industri No. 8, Subulussalam, YO 12566",(0430) 638 6662,Zakat Pertanian,602700.5281,2024-12-05
PARIS NASYIDAH,"Jalan Bangka Raya No. 6, Batu, Papua Barat 84475",+62-0677-344-3545,Zakat Mal,1079112.9206,2024-02-26
"PUTI ALIKA MUSTOFA, S.IP","Gang R.E Martadinata No. 3, Salatiga, Sulawesi Barat 06065",+62 (079) 037 0967,Zakat Penghasilan,670827.3154000002,2024-10-26
HARI SIHOMBING,"Gg. Rajiman No. 001, Cirebon, JI 03356",(0079) 849-0650,Zakat Penghasilan,781463.0604000001,2025-01-22
CARLA SIHOMBING,"Gang Moch. Toha No. 272, Semarang, Maluku Utara 63408",(033) 721-0893,Zakat Penghasilan,473137.9268,2024-12-29
AGNES PUTRA,"Gang Soekarno Hatta No. 05, Parepare, GO 97522",+62 (46) 365-4667,Zakat Penghasilan,1062642.0618,2023-11-14
DRG. GILDA PRASTUTI,"Gg. Erlangga No. 4, Kendari, NT 96139",+62-36-034-9695,Zakat Penghasilan,213620.74470000007,2023-06-05
H. BAGYA LAILASARI,"Jl. Gardujati No. 663, Tual, Sulawesi Utara 84021",+62-936-182-6865,Zakat Perdagangan,632043.5847000001,2024-09-04
"ALIKA RAHMAWATI, S.PT","Jl. K.H. Wahid Hasyim No. 7, Banda Aceh, NB 01160",+62 (333) 046-1638,Zakat Emas/Perak,97416.37400000001,2025-03-02
DT. DIMAS SANTOSO,"Jl. Tebet Barat Dalam No. 122, Denpasar, GO 74718",(098) 067 0124,Zakat Emas/Perak,164789.3918,2024-06-15
"DR. PARAMITA SAPTONO, S.PD","Jalan Tubagus Ismail No. 81, Pangkalpinang, BB 59020",+62 (35) 765-8261,Zakat Penghasilan,1064564.6308000002,2023-11-19
OPHELIA SAFITRI,"Gang Sentot Alibasa No. 678, Binjai, Lampung 66790",0834139349,Zakat Pertanian,819504.5287000001,2024-09-24
"DT. TASDIK USAMAH, S.PSI","Jalan Surapati No. 888, Langsa, Sulawesi Selatan 17718",+62 (10) 266 7297,Zakat Pertanian,420456.0151,2024-10-03
MAHMUD MARYADI,"Gang Rajawali Barat No. 67, Jambi, Jawa Barat 42370",082 100 9382,Zakat Fitrah,382843.15300000005,2024-09-05
ASMIANTO WALUYO,"Gang Ahmad Yani No. 46, Kota Administrasi Jakarta Utara, GO 97384",+62 (097) 960-8069,Zakat Mal,554745.0458000001,2025-04-22
DINDA SIREGAR,"Gang Dr. Djunjunan No. 6, Depok, BB 94524",(0413) 159-0815,Zakat Perdagangan,1051423.7404,2023-12-27
NASRULLAH BUDIMAN,"Jl. Pasteur No. 3, Kediri, Sulawesi Barat 54290",+62 (336) 898 9883,Zakat Penghasilan,681475.6542000001,2024-07-20
TOMI RAHMAWATI,"Jl. Tebet Barat Dalam No. 22, Banjarmasin, Gorontalo 68337",0806053405,Zakat Perdagangan,957425.9552000002,2024-07-22
R.A. IRIANA WINARNO,"Jalan Ahmad Yani No. 22, Bogor, KT 79965",+62 (327) 501-6761,Zakat Mal,884349.8565000001,2025-04-11
MICHELLE MANDASARI,"Gg. Jend. A. Yani No. 9, Pariaman, NT 50522",+62 (66) 689-6178,Zakat Emas/Perak,698524.1065000001,2025-03-01
HAFSHAH RAJASA,"Gang Moch. Ramdan No. 1, Cimahi, Bali 04431",+62-22-232-4216,Zakat Emas/Perak,1012676.9873,2023-11-20
"IR. MUSTIKA SIHOTANG, S.H.","Gang Pasirkoja No. 77, Batu, Sulawesi Barat 02432",+62 (0944) 234-9192,Zakat Pertanian,1173788.3663,2024-10-20
"SUTAN PRANATA RAJASA, M.FARM","Gang Erlangga No. 5, Pariaman, BA 62856",+62-239-925-1639,Zakat Penghasilan,843825.7465000001,2024-09-27
"R. GABRIELLA WIBOWO, M.FARM","Jl. Moch. Ramdan No. 9, Cimahi, KI 53623",+62 (0563) 836 6671,Zakat Emas/Perak,808317.2801000002,2024-10-21
DANU ASTUTI,"Jl. Ronggowarsito No. 1, Subulussalam, GO 96245",+62 (21) 959 3655,Zakat Emas/Perak,686031.7398000002,2024-03-17
"PUTI HAMIMA FUJIATI, M.M.","Jl. Cihampelas No. 2, Semarang, MU 05256",+62 (0604) 111-1751,Zakat Penghasilan,1024714.0068000001,2024-01-29
NARDI ISWAHYUDI,"Gang PHH. Mustofa No. 625, Pontianak, JA 60018",+62-0126-239-5869,Zakat Fitrah,182015.26640000002,2023-08-29
ASMIANTO PRADANA,"Jl. Moch. Ramdan No. 05, Pontianak, BT 65241",+62-0188-693-0380,Zakat Penghasilan,853120.9423000001,2023-05-23
AMALIA WASKITA,"Gang Cihampelas No. 446, Banjarmasin, Kepulauan Riau 15418",+62 (0402) 585 5143,Zakat Mal,736646.0519000001,2024-06-01
"GANEP HUTAPEA, S.E.I","Jl. Erlangga No. 4, Bogor, NT 38333",(0217) 484-2784,Zakat Perdagangan,330955.02550000005,2024-03-17
KARIMAH MANGUNSONG,"Jl. Kebonjati No. 2, Langsa, PA 94878",+62 (920) 987 3377,Zakat Penghasilan,96919.52380000002,2023-06-06
FITRIA PRASTUTI,"Jl. Ahmad Yani No. 094, Sungai Penuh, Sulawesi Selatan 41349",(077) 505-4064,Zakat Fitrah,1049631.6336,2024-03-30
SILVIA HALIMAH,"Jalan Cihampelas No. 5, Pekalongan, ST 34420",086 747 5516,Zakat Emas/Perak,398181.64540000004,2023-09-19
SITI WASKITA,"Gang Sentot Alibasa No. 30, Tebingtinggi, GO 85492",(052) 018 0452,Zakat Pertanian,849121.7713000003,2023-05-17
HESTI YOLANDA,"Jalan Raya Ujungberung No. 752, Pangkalpinang, Maluku Utara 54111",+62 (060) 240 3243,Zakat Pertanian,509448.3691000001,2024-12-15
TALIA WAHYUNI,"Jl. Setiabudhi No. 153, Kendari, KS 20436",(092) 630 3306,Zakat Perdagangan,226299.72970000005,2024-08-02
R.M. NYANA HUTASOIT,"Jalan Waringin No. 3, Kota Administrasi Jakarta Timur, Riau 11267",+62 (0248) 969-7627,Zakat Emas/Perak,358950.1179,2024-01-06
T. JOKO PURWANTI,"Jl. Moch. Toha No. 660, Bandar Lampung, BT 95697",+62-441-446-4849,Zakat Penghasilan,164125.92460000006,2023-12-01
PIA USADA,"Gang Surapati No. 9, Bengkulu, Sulawesi Utara 81011",+62-116-310-0240,Zakat Penghasilan,727837.8690000001,2024-03-25
ELLIS PERMADI,"Gang Cempaka No. 084, Gorontalo, RI 98222",(058) 227 3727,Zakat Fitrah,115242.094,2023-05-15
DANISWARA RAHMAWATI,"Jalan Rumah Sakit No. 2, Palangkaraya, DI Yogyakarta 10479",+62-092-320-0677,Zakat Fitrah,490310.79130000004,2024-09-08
"T. UTAMA SIHOMBING, S.PD","Gg. PHH. Mustofa No. 543, Sawahlunto, JB 53423",(046) 104-4962,Zakat Emas/Perak,304582.47050000005,2024-08-01
UDA PERTIWI,"Gang HOS. Cokroaminoto No. 909, Bontang, Jawa Timur 33066",+62 (0545) 308-9523,Zakat Pertanian,94437.87430000002,2024-02-08
DT. SALMAN NATSIR,"Gang Medokan Ayu No. 837, Medan, DI Yogyakarta 53442",+62-0184-432-2636,Zakat Fitrah,377721.62230000005,2024-03-24
SALMAN ANDRIANI,"Jl. Jayawijaya No. 238, Pematangsiantar, PA 91503",+62-394-672-7473,Zakat Penghasilan,278078.2191,2024-02-14
HASNA ISWAHYUDI,"Jalan Sukabumi No. 252, Solok, Nusa Tenggara Timur 90238",+62-881-169-5415,Zakat Mal,674156.0375000001,2023-10-19
NYANA SAMOSIR,"Gang Ir. H. Djuanda No. 711, Tangerang Selatan, Banten 87652",+62 (24) 427 0019,Zakat Fitrah,99774.3736,2023-05-27
KASUSRA RAJASA,"Jalan H.J Maemunah No. 4, Tomohon, KU 80627",+62 (002) 985 1897,Zakat Fitrah,373467.45590000006,2025-03-09
DIAH SIMANJUNTAK,"Jl. Dipenogoro No. 49, Kota Administrasi Jakarta Barat, Papua Barat 19378",(024) 306-8167,Zakat Emas/Perak,924026.7366000001,2024-09-26
IRA WULANDARI,"Gang Kebonjati No. 62, Mojokerto, JT 59157",+62-31-152-2274,Zakat Perdagangan,98601.04870000001,2023-08-22
GABRIELLA SIMBOLON,"Jl. Sukabumi No. 039, Surakarta, KU 50635",(072) 778-7210,Zakat Penghasilan,488471.6397,2024-11-30
OLGA MANDALA,"Gg. Kutisari Selatan No. 327, Tual, Sulawesi Tengah 62550",+62-041-106-6783,Zakat Fitrah,341271.72750000004,2024-03-02
DT. TUGIMAN SAEFULLAH,"Gang Waringin No. 24, Probolinggo, Kalimantan Tengah 69301",(014) 645 5562,Zakat Mal,427654.9706,2024-08-16
AGUS JAILANI,"Gang Rumah Sakit No. 321, Cirebon, Kalimantan Tengah 49039",(0987) 766 4958,Zakat Fitrah,370715.8070000001,2023-05-22
DR. IDA SINAGA,"Gang Erlangga No. 346, Sungai Penuh, JK 92465",(039) 528 0446,Zakat Perdagangan,151702.09230000002,2024-05-25
CALISTA NASYIAH,"Gg. Rajiman No. 82, Makassar, JA 23666",0811608711,Zakat Pertanian,639164.2169000001,2024-03-17
BETANIA NATSIR,"Jl. Setiabudhi No. 590, Palembang, MA 40873",+62-00-374-6764,Zakat Pertanian,1188711.7198000003,2024-05-14
DINDA SITOMPUL,"Gang Waringin No. 351, Tangerang Selatan, BB 82570",+62 (25) 915 4892,Zakat Mal,758533.0159000001,2024-08-07
"PADMA HANDAYANI, S.E.I","Gg. Rajawali Barat No. 00, Langsa, PB 94499",+62 (500) 239 9950,Zakat Fitrah,219174.6447000001,2024-10-18
IHSAN PURNAWATI,"Jalan Stasiun Wonokromo No. 43, Sabang, SU 35163",+62 (947) 911-9659,Zakat Mal,787486.2105000002,2024-09-25
RATIH KUSMAWATI,"Jl. Moch. Ramdan No. 9, Gorontalo, BE 50390",+62 (73) 436-8789,Zakat Perdagangan,1003135.5444,2024-05-14
"MALIKA FIRMANSYAH, M.PD","Gg. Rajawali Barat No. 078, Kendari, Jawa Barat 51995",+62 (79) 310 2254,Zakat Pertanian,628100.5335,2024-04-02
TGK. ICHA PERMADI,"Jl. Jakarta No. 93, Tegal, Nusa Tenggara Barat 11070",+62-412-551-6181,Zakat Penghasilan,412557.44970000006,2023-10-02
VERA ARYANI,"Jalan Surapati No. 9, Pariaman, Kalimantan Utara 63891",+62 (086) 229 3460,Zakat Emas/Perak,1083101.5041,2024-10-05
IFA PRANOWO,"Jalan Gegerkalong Hilir No. 89, Dumai, Kepulauan Bangka Belitung 67811",+62 (011) 197 7543,Zakat Pertanian,595277.8436,2023-09-10
VERO DAMANIK,"Jl. Wonoayu No. 690, Batam, BE 05918",+62 (0217) 182-8314,Zakat Emas/Perak,41858.2439,2025-02-04
SALIMAH PADMASARI,"Gg. Rajiman No. 573, Salatiga, Sulawesi Tengah 79357",+62 (0232) 452 1398,Zakat Emas/Perak,197438.67660000004,2025-01-01
"DR. MAYA WIDODO, S.PD","Gang Pacuan Kuda No. 809, Kota Administrasi Jakarta Selatan, Sulawesi Tengah 05910",+62-060-893-6971,Zakat Emas/Perak,1071014.1002000002,2024-11-26
"CUT INTAN MANULLANG, S.E.","Jalan Rajiman No. 937, Tomohon, Jambi 80998",(042) 046 5397,Zakat Fitrah,363851.7190000001,2024-03-18
RINA HIDAYANTO,"Gang Moch. Toha No. 4, Padang, JB 56624",+62 (72) 178 7397,Zakat Perdagangan,448819.37100000004,2023-06-05
GAMBIRA PERTIWI,"Gang Suryakencana No. 46, Pagaralam, Sumatera Selatan 77432",+62 (49) 578 8493,Zakat Fitrah,93499.47090000001,2023-07-17
"QORI SINAGA, S.PD","Jl. Sentot Alibasa No. 8, Binjai, KU 42032",(036) 402 9733,Zakat Perdagangan,162939.03560000003,2024-07-10
BAKIONO LESTARI,"Jalan Pasirkoja No. 48, Sibolga, SG 88275",+62 (0120) 282 4962,Zakat Perdagangan,346746.0216000001,2024-02-03
JASMANI PUTRA,"Gang Cikapayang No. 1, Pagaralam, KR 68923",+62 (48) 314-0190,Zakat Mal,1173941.1288000003,2023-11-17
HANI RAJASA,"Jalan Ir. H. Djuanda No. 41, Kota Administrasi Jakarta Utara, SS 65397",+62 (458) 733 3834,Zakat Pertanian,265576.608,2024-01-22
DR. WARSITA SAPTONO,"Gg. Gegerkalong Hilir No. 6, Gorontalo, SS 58634",+62 (21) 253-4279,Zakat Emas/Perak,414902.1151,2024-11-14
"IR. PRASETYO RAJATA, M.KOM.","Jl. Waringin No. 18, Tarakan, BB 50127",(0535) 637-4123,Zakat Perdagangan,238498.69560000004,2023-09-21
IRWAN KUSUMO,"Jalan Ronggowarsito No. 41, Bukittinggi, KS 93353",+62-0779-650-6944,Zakat Fitrah,895829.8162000001,2024-07-05
KOKO MARPAUNG,"Gang Pasir Koja No. 071, Ternate, BT 21906",0805194261,Zakat Emas/Perak,303725.01610000007,2023-12-18
BAHURAKSA PALASTRI,"Gg. Gedebage Selatan No. 799, Kota Administrasi Jakarta Barat, LA 31374",+62 (023) 044-8123,Zakat Fitrah,1156726.9186000004,2024-06-08
"DRG. HARJASA SETIAWAN, S.T.","Jl. Abdul Muis No. 39, Singkawang, KR 88621",+62 (38) 967-9725,Zakat Pertanian,929802.8289000001,2024-06-08
"DRS. BALAPATI MUSTOFA, S.PD","Jl. Rajawali Barat No. 9, Blitar, Kalimantan Timur 64838",+62 (0112) 820 0634,Zakat Mal,1153369.1202,2025-01-21
"IR. LARAS MAULANA, M.TI.","Jl. Merdeka No. 7, Bitung, JT 57240",(064) 656-1460,Zakat Perdagangan,239255.00610000006,2023-09-25
TGK. TAUFAN ZULAIKA,"Gang Dipenogoro No. 166, Magelang, KU 24513",+62-66-793-8841,Zakat Mal,443053.2854,2024-11-28
CINTA SURYONO,"Gg. Sukajadi No. 9, Balikpapan, Papua Barat 39575",+62 (053) 406-7121,Zakat Perdagangan,105886.56760000001,2023-05-16
"KAMIDIN NARPATI, S.I.KOM","Jalan Moch. Ramdan No. 3, Bekasi, PA 85343",0852938043,Zakat Mal,905195.8817000001,2024-08-24
"DR. ELVINA MUSTOFA, S.IP","Jl. Rajawali Barat No. 959, Kupang, BE 56603",+62 (444) 401-2324,Zakat Fitrah,1077482.8328,2024-07-08
"DR. LALA NURDIYANTI, S.PT","Jl. Lembong No. 4, Kediri, Kalimantan Utara 63990",+62 (0607) 170 1666,Zakat Pertanian,547734.7051000001,2025-05-06
PUTI HILDA HUTAPEA,"Gang Stasiun Wonokromo No. 92, Binjai, Lampung 50746",(097) 417 2701,Zakat Pertanian,476518.69100000005,2025-04-10
IR. MELINDA WASKITA,"Gg. M.H Thamrin No. 527, Padang, SR 48396",(0190) 531 4347,Zakat Mal,737073.6780000002,2024-10-22
JAMIL PRABOWO,"Jl. Medokan Ayu No. 10, Jambi, RI 78843",(077) 590 7778,Zakat Emas/Perak,811359.9219000002,2024-04-22
PADMI PURWANTI,"Jalan Kebonjati No. 0, Serang, MA 33629",082 814 6158,Zakat Fitrah,145741.77750000003,2024-09-15
HARTAKA NOVITASARI,"Jalan Raya Setiabudhi No. 67, Sawahlunto, Kalimantan Tengah 49072",+62-0070-613-3104,Zakat Perdagangan,441956.7229,2024-12-12
"IR. VIRMAN MANDASARI, M.TI.","Jalan Setiabudhi No. 136, Pagaralam, Lampung 59298",+62-078-521-8760,Zakat Pertanian,889105.3622,2023-06-26
"DARIJAN SIHOMBING, S.KOM","Gang Suniaraja No. 578, Ambon, Sumatera Utara 91957",+62 (0851) 907 6492,Zakat Pertanian,671008.6944000002,2024-12-30
SITI RIYANTI,"Jalan Suniaraja No. 01, Prabumulih, MA 77535",(086) 810 4806,Zakat Emas/Perak,215148.28500000003,2024-09-19
"INA SAFITRI, S.IP","Gang Ahmad Yani No. 95, Payakumbuh, Sulawesi Barat 19568",+62 (62) 348 6913,Zakat Perdagangan,503681.77530000004,2023-11-28
TARI LAKSITA,"Gg. H.J Maemunah No. 9, Cimahi, KS 10429",+62 (392) 388-4397,Zakat Emas/Perak,147176.54710000003,2024-06-14
"EKA PRASETYA, S.FARM","Gg. Ahmad Yani No. 221, Padangpanjang, JB 14798",087 572 0181,Zakat Fitrah,307666.9662000001,2023-06-12
MAYA MULYANI,"Jalan Kendalsari No. 2, Tebingtinggi, KT 90635",+62 (0947) 482-5544,Zakat Penghasilan,88244.59820000002,2024-03-18
"IR. FITRIANI NASYIAH, S.E.","Gang Kutisari Selatan No. 899, Tebingtinggi, JB 17011",(065) 553-8949,Zakat Perdagangan,974697.5678000002,2024-11-16
ELVINA PRASETYA,"Jalan Ciumbuleuit No. 27, Banjar, JK 00405",(092) 993 5787,Zakat Perdagangan,953662.4559000002,2023-07-16
VERA FARIDA,"Jl. Ahmad Yani No. 365, Bengkulu, Nusa Tenggara Barat 97272",(0088) 640 8068,Zakat Pertanian,1021804.5134,2023-06-09
"DRG. ZAMIRA MANULLANG, S.IP","Jl. Stasiun Wonokromo No. 0, Serang, BB 46929",+62-99-229-7543,Zakat Pertanian,776444.2950000002,2024-04-12
DRG. MALA PUSPITA,"Gg. Pasteur No. 234, Samarinda, Kalimantan Timur 02730",+62 (55) 536-2456,Zakat Fitrah,531084.9962,2024-12-24
VIOLET WASTUTI,"Jl. Bangka Raya No. 59, Pontianak, YO 08040",+62 (126) 904-5031,Zakat Penghasilan,772038.1526000003,2023-08-31
GANDI PERTIWI,"Gang Indragiri No. 949, Palangkaraya, Riau 93339",(0669) 792 0285,Zakat Pertanian,333134.8647000001,2023-08-28
R. IRFAN TAMBA,"Jl. Dipatiukur No. 490, Singkawang, JI 37844",+62-832-099-5362,Zakat Perdagangan,660628.1044000002,2024-05-26
"RADIT WULANDARI, S.E.","Gg. Jayawijaya No. 11, Cilegon, Kalimantan Tengah 11923",+62-0321-935-1948,Zakat Pertanian,139745.61040000003,2023-11-17
"DRG. IVAN MAHESWARA, S.PT","Gg. Dipenogoro No. 43, Tanjungpinang, PA 94328",+62-640-912-6183,Zakat Pertanian,1166074.8825000003,2024-09-25
"DRS. USMAN WULANDARI, S.IP","Jalan Setiabudhi No. 1, Manado, RI 76479",087 973 4413,Zakat Perdagangan,1204853.6522000001,2024-11-13
EDISON SUSANTI,"Jalan Yos Sudarso No. 5, Pekanbaru, LA 48656",+62 (029) 522-0953,Zakat Pertanian,650489.8290000001,2023-09-22
"JAMALIA SIRAIT, S.E.I","Jl. Gegerkalong Hilir No. 688, Sabang, SN 25492",(0835) 861 3860,Zakat Penghasilan,885924.1028000001,2023-10-16
"KARJA HANDAYANI, S.PT","Jalan PHH. Mustofa No. 734, Payakumbuh, KR 11139",084 195 1850,Zakat Fitrah,890766.3413000002,2024-08-07
KANDA RIYANTI,"Jalan Gardujati No. 683, Blitar, Jawa Timur 07688",+62 (068) 417-9093,Zakat Emas/Perak,1029314.1848,2024-12-19
R. ELVINA PRATAMA,"Jalan Otto Iskandardinata No. 9, Sabang, Jawa Tengah 95168",+62-605-270-2960,Zakat Mal,757063.6645,2025-03-30
HUMAIRA ANGGRIAWAN,"Gang KH Amin Jasuta No. 1, Tasikmalaya, KB 00019",0858113899,Zakat Penghasilan,1017456.9108000001,2025-01-11
CINTA THAMRIN,"Jalan Kebonjati No. 425, Singkawang, Kalimantan Selatan 50114",+62 (06) 784-7955,Zakat Emas/Perak,136695.4303,2023-10-27
"MELINDA PRATIWI, S.FARM","Jl. Kapten Muslihat No. 790, Tual, JA 12356",(0885) 852-6739,Zakat Mal,51259.14530000001,2024-07-14
KAWAYA WIBOWO,"Gg. R.E Martadinata No. 729, Kota Administrasi Jakarta Utara, ST 73263",(001) 727 4895,Zakat Mal,300954.61220000003,2024-10-28
"DRG. ULVA SINAGA, S.SOS","Gang Kendalsari No. 534, Langsa, Papua Barat 30204",+62 (093) 145 6115,Zakat Perdagangan,646182.8824,2025-01-10
VERA SANTOSO,"Gg. Jamika No. 8, Tarakan, Kalimantan Timur 69663",+62-560-850-4149,Zakat Pertanian,841447.1164,2025-02-09
